Rank,username,Name,Category,Subscribers,Audience Country,Avg. Views,Avg. Likes
253,toyorbabytv,toyorbabytv,Music & Dance,19400000,Other,94900,0
254,TelenovelaTelevisa,Tlnovelas,Other,19400000,Mexico,4200,134
255,shfa show India,shfa show India,Daily vlogs,19400000,Other,1700000,13000
256,Vlad and Niki Arabic,Vlad and Niki Arabic,Other,19400000,Other,1300000,8100
257,gottalentglobal,Got Talent Global,Other,19400000,United States,132900,2100
258,MrVivekBindra,Dr. Vivek Bindra: Motivational Speaker,Education,19400000,India,399500,22100
259,romeo,Romeo Santos,Music & Dance,19300000,United States,429800,11300
260,MARVEL,Marvel Entertainment,MoviesAnimation,19200000,United States,246900,13800
261,gordonramsay,Gordon Ramsay,Food & DrinksHealth & Self Help,19200000,United States,154600,4700
262,Infinite,Infinite,Video gamesHumor,19200000,United States,1700000,55700
263,Troom Troom Es,Troom Troom Es,Other,19200000,Mexico,139400,2600
264,Gusttavo Lima Oficial,Gusttavo Lima Oficial,Music & Dance,19200000,Brazil,0,0
265,gmapublicaffairs,GMA Public Affairs,News & Politics,19200000,Philippines,7400,101
266,DLS News,DLS News,News & Politics,19000000,India,69700,2300
267,fatosdesconhecidos,Fatos Desconhecidos,Science & Technology,19000000,Brazil,167100,15500
268,Crafty Panda,Crafty Panda,Music & Dance,19000000,India,64900,535
269,RobinHoodGamer1,Robin Hood Gamer,AnimationVideo games,19000000,Brazil,961400,77600
270,corbuzierprediction,Deddy Corbuzier,Other,19000000,Indonesia,3200000,73300
271,NBA,NBA,Sports,19000000,United States,76600,3000
272,LankyBox,LankyBox,Video games,19000000,United States,708600,11000
273,Kinder Spielzeug Kanal,Kinder Spielzeug Kanal,AnimationToys,19000000,Other,245400,1300
274,★ Kids Roma Show,★ Kids Roma Show,AnimationToys,18800000,Other,860800,4900
275,The ACE Family,The ACE Family,Humor,18800000,United States,1200000,46900
276,OfficialClashOfClans,Clash of Clans,MoviesAnimation,18800000,United States,3800000,78200
277,JimmyKimmelLive,Jimmy Kimmel Live,Movies,18800000,United States,139700,3800
278,Kurzgesagt,Kurzgesagt – In a Nutshell,Education,18800000,United States,4900000,340400
279,Eva Bravo Play,Eva Bravo Play,Other,18700000,Other,414700,2800
280,Lil Nas X,Lil Nas X,Music & Dance,18600000,United States,334500,25600
281,BritainsGotTalent09,Britain's Got Talent,Music & DanceMovies,18600000,United Kingdom,80400,1600
282,TheWillyrex,TheWillyrex,Other,18600000,Spain,41500,2300
283,TRT Originals Urdu,TRT Originals Urdu,Other,18600000,Pakistan,301400,13300
284,greengoldtv,Green Gold TV - Official Channel,Other,18400000,Other,442400,3600
285,Netflix India,Netflix India,Other,18400000,India,150400,4000
286,icreateddisco,Calvin Harris,Music & Dance,18400000,United States,473800,16500
287,Cardi B,Cardi B,Music & Dance,18400000,United States,517400,28600
288,Sun TV,Sun TV,Other,18400000,India,178200,3000
289,sonotekvideo,Sonotek,Music & Dance,18200000,India,122700,543
290,PinkPanther,Official Pink Panther,MoviesAnimation,18200000,Other,674600,4900
291,Unbox Therapy,Unbox Therapy,Science & Technology,18200000,United States,1100000,8400
292,Ninja Kidz TV,Ninja Kidz TV,Video games,18200000,United States,793900,18800
293,HiMan,HiMan,Video games,18200000,Russia,3200000,166700
294,CookieSwirlC,CookieSwirlC,Video games,18200000,United States,510500,3800
295,turmadamonicaTV,Turma da Mônica,Other,18200000,Other,110300,1100
296,kbsworld,KBS WORLD TV,Other,18200000,Indonesia,8500,264
297,Beast Reacts,Beast Reacts,Other,18100000,United States,10800000,326600
298,INCRÍVEL,INCRÍVEL,Animation,18000000,Other,23200,1100
299,MiawAug,MiawAug,Video games,18000000,Indonesia,889600,39800
300,PDKFilms,PDK Films,MoviesAnimation,18000000,United States,1700000,35900
301,Мирошка ТВ,Мирошка ТВ,Other,18000000,United States,14600,81
302,DanielSaboya,Dan-Sa / Daniel Saboya,Music & DanceAnimation,18000000,Brazil,42400,1600
303,GEN HALILINTAR,GEN HALILINTAR,Music & DanceHumor,18000000,Indonesia,983200,26400
304,TheOdd1sOut,TheOdd1sOut,MoviesAnimation,18000000,United States,6000000,404500
305,BabyBus - Cerita & Lagu Anak-anak,BabyBus - Cerita & Lagu Anak-anak,MoviesHumor,18000000,Other,292700,1400
306,ElTrollino,ElTrollino,AnimationVideo games,18000000,Mexico,3000000,95600
307,Lele Pons,Lele Pons,MoviesHumor,17800000,United States,38100,2000
308,farrukotv,Farruko,Music & Dance,17800000,United States,92900,7000
309,Emiway Bantai,Emiway Bantai,Music & Dance,17800000,India,6200000,499500
310,therealdemilovato,Demi Lovato,Music & Dance,17800000,United States,55700,6900
311,invictorgs3,invictor,AnimationVideo games,17800000,Mexico,1300000,56700
312,The Royalty Family,The Royalty Family,Humor,17800000,United States,3400000,110700
313,Matroix,Ali-A,Video games,17800000,United States,625600,23500
314,rhettandlink2,Good Mythical Morning,Food & Drinks,17800000,United States,1100000,34200
315,Naisa Alifia Yuriza (N.A.Y),Naisa Alifia Yuriza (N.A.Y),Music & DanceMovies,17800000,Indonesia,802900,33700
316,Lil Pump,Lil Pump,Music & Dance,17800000,United States,770600,41300
317,Like Nastya Vlog,Like Nastya Vlog,Daily vlogs,17800000,Other,497600,2200
318,TheElenaYa,Diana and Roma EN,AnimationToys,17800000,Other,474000,2400
319,A_S Gaming,A_S Gaming,Other,17700000,India,501900,46400
320,dj47maryn,Marmok,AnimationVideo games,17600000,Russia,3500000,335700
321,Vania Mania Kids,Vania Mania Kids,AnimationToys,17600000,Other,722800,1900
322,TheGrefg,TheGrefg,AnimationVideo games,17600000,Spain,1200000,101600
323,SCTVIndonesia,SCTV,Music & DanceMovies,17600000,Indonesia,13400,293
324,SockeyeMedia,Mother Goose Club Playhouse,Music & Dance,17600000,Other,76600,164
325,FactTechz,FactTechz,Other,17500000,India,662600,55900
326,rsiammusic,RsiamMusic : อาร์สยาม,Music & Dance,17500000,Thailand,9200,216
327,Heidi & Zidane बच्चों की कहानियाँ,Heidi & Zidane बच्चों की कहानियाँ,Daily vlogs,17500000,Other,253500,1200
328,Little Angel Español - Canciones Infantiles,Little Angel Español - Canciones Infantiles,Animation,17500000,Other,624200,3700
329,ThePoznavatel,Познаватель,ToysDIY & Life Hacks,17500000,Russia,3800000,57700
330,Stubborn Facts,Stubborn Facts,Other,17300000,India,44900,2500
331,portadosfundos,Porta dos Fundos,MoviesAnimation,17300000,Brazil,745700,78600
332,SebastianYatra,Sebastián Yatra,Music & Dance,17300000,Colombia,16700,1300
333,RobleisIUTU,RobleisIUTU,MoviesAnimation,17300000,Argentina,935600,55000
334,Vlad and Niki IDN,Vlad and Niki IDN,Music & DanceMovies,17300000,Other,745400,1800
335,officialpsy,officialpsy,Music & Dance,17300000,United States,282000,14400
336,etvteluguindia,etvteluguindia,Other,17200000,India,13400,148
337,Village Cooking Channel,Village Cooking Channel,Other,17200000,India,3900000,172300
338,aMOODIEsqueezie,SQUEEZIE,Other,17100000,France,5900000,476000
339,Willyrex,Willyrex,Video games,17100000,Mexico,142800,8900
340,TEDEducation,TED-Ed,Science & Technology,17100000,United States,338600,15100
341,STARVIJAY,Vijay Television,Other,17100000,India,307400,6300
342,Masha e o Urso,Masha e o Urso,Other,17100000,Other,589500,3800
343,Gaby and Alex,Gaby and Alex,Toys,17100000,Other,310100,382
344,HowToBasic,HowToBasic,Food & Drinks,17100000,United States,679800,45900
345,grammygoldofficia,Grammy Gold Official,Music & Dance,17100000,Thailand,15300,540
346,Kids Channel India - Hindi Rhymes and Baby Songs,Kids Channel India - Hindi Rhymes and Baby Songs,Education,17100000,Other,105200,824
347,SUPER SLICK SLIME SAM,SUPER SLICK SLIME SAM,Other,16900000,Mexico,367200,9900
348,aynakoitsroi,Guava Juice,Other,16900000,United States,201700,3800
349,musicalrmastv,الـريماس - Al-Remas,Music & Dance,16900000,Iraq,196300,4600
